304,19,296813,85.0,84.97,54.92,85.48,70.04,38.72,95.43,88.61,104.87,96.75,74.07,6162.284588744588,0.0,1.59,1.46,1.06,2.08,2.4,91.93,97.84,93.88,88.38,90.58,6.48,0.7,5.06,9.54,7.02,5.87,0.7,6.06,7.73,3.14
305,20,302403,89.88,89.73,56.65,86.96,71.9,40.41,99.16,96.11,108.6,100.26,73.78,6162.284588744588,0.0,8.58,6.36,5.97,6.36,29.89,82.4,87.11,87.38,80.28,62.63,9.02,6.53,6.66,13.35,7.48,5.24,6.53,4.81,7.4,3.3
306,23,388446,93.27,93.21,54.06,87.47,80.12,46.3,103.59,97.93,108.22,109.68,82.48,6162.284588744588,0.0,2.54,3.84,1.87,2.95,2.93,92.27,91.85,94.15,90.06,92.07,5.2,4.31,3.98,6.99,5.0,5.84,4.31,5.83,7.36,3.76
307,25,592264,93.68,93.42,64.47,90.32,86.08,50.35,103.27,89.51,103.47,113.34,89.89,6162.284588744588,0.0,2.78,3.36,2.34,2.93,3.56,90.58,95.03,93.77,86.57,89.18,6.63,1.61,3.89,10.51,7.26,5.29,1.61,4.22,8.09,3.04
308,27,143711,83.98,83.97,53.17,85.84,55.87,26.01,94.63,90.95,116.95,86.55,54.3,6162.284588744588,0.0,2.04,1.64,1.57,2.82,2.54,91.72,97.35,92.52,88.73,92.07,6.24,1.02,5.91,8.45,5.39,7.78,1.02,9.26,8.47,3.16
309,41,242199,93.46,93.38,65.22,92.14,81.78,46.27,103.51,91.73,107.37,112.21,82.25,6162.284588744588,0.0,2.49,1.8,1.96,3.32,2.54,89.63,97.93,93.52,83.13,88.15,7.88,0.27,4.52,13.55,9.31,6.85,0.27,5.69,10.59,4.33
310,44,252101,94.28,94.2,77.87,94.12,58.87,27.06,104.74,117.18,126.28,94.69,57.76,6162.284588744588,0.0,2.08,2.35,2.22,1.76,1.92,89.11,94.01,88.9,87.18,91.5,8.81,3.64,8.89,11.06,6.58,5.87,3.64,6.79,6.39,1.96
311,47,327562,96.03,95.83,61.18,90.4,74.25,42.61,110.91,110.44,117.1,113.68,89.82,6162.284588744588,0.0,3.87,5.68,4.26,2.97,3.64,90.81,91.43,92.28,88.47,91.53,5.32,2.9,3.45,8.56,4.83,3.8,2.9,3.67,5.04,1.8
312,50,217673,93.91,93.83,65.64,90.98,81.17,47.12,105.44,91.93,108.73,109.93,95.06,6162.284588744588,0.0,2.47,3.14,2.25,2.68,2.25,87.06,94.88,89.78,81.83,87.79,10.47,1.98,7.97,15.49,9.95,4.32,1.98,3.53,6.77,2.42
313,52,305761,84.15,84.1,55.01,79.06,69.72,41.01,97.39,79.03,100.83,105.22,82.91,6162.284588744588,0.0,1.75,1.02,1.73,2.03,1.43,89.34,95.3,89.94,86.58,91.76,8.91,3.68,8.33,11.4,6.81,4.68,3.68,4.61,6.35,2.35
314,54,325981,90.24,90.16,66.9,89.0,76.87,41.2,98.32,93.61,106.72,100.01,76.29,6162.284588744588,0.0,3.94,4.03,3.65,4.58,3.08,88.82,93.3,89.74,85.95,90.82,7.24,2.67,6.61,9.48,6.11,5.51,2.67,4.57,8.25,4.13
315,63,83129,95.97,95.93,71.49,91.39,87.94,56.4,107.41,96.38,105.63,119.41,94.09,6162.284588744588,0.0,3.07,2.76,2.57,3.6,3.27,90.1,96.78,93.22,85.81,89.2,6.83,0.46,4.21,10.59,7.53,6.06,0.46,4.85,9.52,3.34
316,66,155149,98.9,98.64,69.93,94.52,87.35,52.26,113.87,98.11,112.29,125.43,102.75,6162.284588744588,0.0,2.89,2.62,2.56,3.46,2.5,88.68,94.6,91.57,84.32,88.42,8.43,2.78,5.87,12.22,9.08,5.41,2.78,4.41,8.29,2.91
317,68,408876,95.97,95.83,68.01,93.45,85.52,51.23,105.54,95.58,107.51,113.25,90.52,6162.284588744588,0.0,1.85,1.96,1.58,2.14,1.91,91.04,95.2,93.97,86.71,91.26,7.1,2.84,4.45,11.15,6.84,6.26,2.84,4.7,9.96,4.02
318,70,204837,95.22,95.17,66.44,92.84,77.21,43.08,107.93,123.04,114.3,109.76,81.42,6162.284588744588,0.0,2.0,3.35,1.36,2.53,1.76,92.43,93.54,94.7,89.14,92.48,5.57,3.1,3.93,8.34,5.76,7.51,3.1,7.32,10.51,4.59
319,73,247605,99.37,99.27,70.66,97.01,85.93,51.47,110.54,103.33,114.67,117.57,90.92,6162.284588744588,0.0,3.29,2.87,2.89,3.93,3.06,90.22,96.19,92.73,85.91,90.79,6.48,0.94,4.38,10.16,6.15,5.13,0.94,4.39,7.76,2.74
320,76,846957,82.18,81.96,57.87,77.11,73.15,44.44,92.14,78.98,91.09,101.59,82.36,6162.284588744588,0.0,2.73,3.59,2.59,2.86,2.38,90.41,94.53,92.43,87.22,91.11,6.86,1.88,4.98,9.92,6.5,5.72,1.88,5.05,8.31,2.85
321,81,66580,92.84,92.81,59.0,90.7,74.91,37.32,105.96,95.92,116.78,108.35,78.52,6162.284588744588,0.0,3.93,2.21,3.54,4.82,4.48,85.52,93.77,87.63,79.79,86.81,10.55,4.02,8.83,15.39,8.71,3.9,4.02,3.48,5.77,1.73
322,85,93855,94.38,94.35,71.29,92.78,82.72,47.14,104.95,94.89,107.79,113.83,85.36,6162.284588744588,0.0,2.11,2.14,1.96,2.32,1.99,90.95,97.02,93.57,86.39,90.63,6.94,0.84,4.47,11.29,7.38,5.43,0.84,4.48,8.79,2.37
323,86,80810,84.42,84.41,50.72,80.58,73.07,39.5,95.21,83.77,98.36,104.01,75.86,6162.284588744588,0.0,7.42,4.49,5.84,9.56,8.81,86.8,95.27,90.59,80.88,85.05,5.78,0.25,3.57,9.57,6.14,6.81,0.25,5.74,10.17,4.66
